,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,39.375,202.771484375,58.75,156.57421875,62.625,110.134765625,85.875,110.498046875,116.875,149.732421875,116.875,200.107421875,74.25,110.31640625,85.875,63.998046875,85.875,56.248046875,93.625,21.494140625,35.5,129.0859375,51.0,98.328125,62.625,63.634765625,105.25,64.30078125,101.375,95.240234375,109.125,118.611328125
1,47.125,206.767578125,62.625,160.509765625,58.75,121.69921875,85.875,122.123046875,113.0,157.421875,109.125,196.111328125,70.375,121.880859375,78.125,67.751953125,82.0,56.1875,89.75,21.43359375,31.625,129.025390625,43.25,98.20703125,58.75,63.57421875,97.5,68.0546875,93.625,102.869140625,101.375,130.115234375
2,106.5,180.3515625,102.9375,158.9208984375,81.5625,122.9619140625,56.625,126.134765625,56.625,136.822265625,63.75,165.43359375,67.3125,122.7392578125,63.75,69.24609375,67.3125,58.6142578125,78.0,30.28125,110.0625,105.5947265625,88.6875,94.5732421875,78.0,69.46875,53.0625,65.5166015625,35.25,86.61328125,28.125,90.064453125
3,56.125,199.095703125,80.875,162.357421875,89.125,125.361328125,113.875,125.748046875,155.125,155.267578125,171.625,196.775390625,101.5,125.5546875,113.875,80.373046875,113.875,72.123046875,122.125,31.001953125,64.375,137.349609375,68.5,108.5390625,89.125,79.986328125,134.5,80.6953125,138.625,113.759765625,163.375,143.021484375
4,109.40625,507.85009765625,149.03125,389.59423828125,238.1875,282.0185546875,317.4375,283.2568359375,366.96875,402.90576171875,376.875,521.935546875,277.8125,282.6376953125,248.09375,153.39208984375,238.1875,123.5185546875,218.375,34.052734375,139.125,320.095703125,198.5625,231.8681640625,188.65625,162.36962890625,297.625,144.259765625,366.96875,214.68701171875,416.5,304.6171875
5,243.75,923.80859375,468.75,814.82421875,525.0,590.703125,637.5,592.4609375,843.75,633.18359375,768.75,894.51171875,581.25,591.58203125,600.0,273.125,618.75,235.91796875,637.5,86.2109375,187.5,454.1796875,356.25,381.81640625,487.5,271.3671875,712.5,274.8828125,843.75,295.68359375,993.75,260.52734375
6,78.25,457.05078125,139.5,353.0078125,218.25,257.98828125,297.0,250.46875,332.0,356.015625,367.0,479.0625,262.0,249.921875,235.75,144.51171875,227.0,118.125,209.5,39.1015625,130.75,300.37109375,174.5,231.0546875,174.5,152.3046875,288.25,136.58203125,349.5,216.2890625,384.5,286.8359375
7,89.875,426.013671875,129.09375,332.50146484375,105.5625,253.6962890625,160.46875,246.71044921875,246.75,302.96484375,223.21875,404.56591796875,129.09375,246.22021484375,184.0,145.109375,191.84375,121.70068359375,223.21875,51.59716796875,113.40625,285.19384765625,97.71875,214.35498046875,144.78125,144.49658203125,215.375,145.599609375,199.6875,208.1044921875,238.90625,263.62353515625
8,335.15625,500.89306640625,243.75,326.80859375,446.875,350.294921875,457.03125,350.45361328125,304.6875,469.9482421875,497.65625,533.90087890625,446.875,350.294921875,345.3125,135.4267578125,335.15625,135.26806640625,274.21875,53.06591796875,162.5,234.1328125,243.75,286.18359375,345.3125,155.7392578125,335.15625,125.11181640625,203.125,92.580078125,101.5625,90.9931640625
9,96.4375,495.8037109375,168.1875,380.3310546875,96.4375,289.5224609375,150.25,290.36328125,293.75,337.44921875,275.8125,471.7001953125,123.34375,289.94287109375,168.1875,147.1435546875,168.1875,120.2373046875,195.09375,22.00146484375,96.4375,244.6787109375,60.5625,235.1494140625,105.40625,146.16259765625,222.0,147.984375,248.90625,238.09228515625,320.65625,248.18212890625
