,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,-0.140625,0.375,-0.011457461,-0.0625,0.1875,0.047297098,-0.046875,0.0,-0.023711372,0.046875,0.0,0.03045748,0.171875,0.15625,0.06671105,0.171875,0.359375,-0.01076411,0.0,0.0,0.0,0.046875,-0.1875,-0.02980495,0.046875,-0.21875,-0.077016205,0.078125,-0.359375,-0.05222999,-0.15625,0.078125,1.1102529e-06,-0.09375,-0.046875,-0.031197602,-0.046875,-0.1875,-0.055078644,0.125,-0.1875,-0.029477747,0.109375,-0.0625,0.03913383,0.140625,0.03125,-0.0017249183
1,-0.09375,0.34375,-0.068172805,-0.03125,0.15625,-0.0025008903,-0.046875,0.0,-0.015180079,0.0625,0.0,0.0076937615,0.171875,0.140625,0.1015348,0.15625,0.296875,-0.012495777,0.0,0.0,0.0,0.03125,-0.21875,-0.025301738,0.046875,-0.265625,-0.0664626,0.078125,-0.40625,-0.067028806,-0.15625,0.03125,-0.007855147,-0.109375,-0.09375,-0.055801917,-0.046875,-0.234375,-0.073712066,0.109375,-0.21875,-0.045051537,0.09375,-0.078125,0.019015025,0.125,0.03125,-0.016041819
2,0.171875,0.25,-0.012654455,0.15625,0.15625,0.17560393,0.0625,0.0,-0.021376245,-0.046875,0.015625,0.006571341,-0.046875,0.0625,0.23423116,-0.015625,0.1875,-0.0047728843,0.0,0.0,0.0,-0.015625,-0.234375,-0.010093773,0.0,-0.28125,-0.025679352,0.046875,-0.40625,-0.031464353,0.1875,-0.078125,-0.041773487,0.09375,-0.125,-0.08146658,0.046875,-0.234375,-0.043947875,-0.0625,-0.25,-0.0025214995,-0.140625,-0.15625,0.052441265,-0.171875,-0.140625,0.13133828
3,-0.171875,0.28125,-0.04523706,-0.078125,0.140625,0.080554835,-0.046875,0.0,-0.017513402,0.046875,0.0,0.0018117558,0.203125,0.109375,0.04695767,0.265625,0.265625,-0.023679668,0.0,0.0,0.0,0.046875,-0.171875,-0.029894104,0.046875,-0.203125,-0.09431748,0.078125,-0.359375,-0.04485525,-0.140625,0.046875,-0.08904474,-0.125,-0.0625,-0.060593452,-0.046875,-0.171875,-0.102703564,0.125,-0.171875,-0.058607344,0.140625,-0.046875,0.013031415,0.234375,0.0625,-0.008140518
4,-0.265625,0.359375,-0.065877,-0.203125,0.171875,0.1099319,-0.0625,0.0,0.015595693,0.0625,0.0,-0.011351739,0.140625,0.1875,0.18172349,0.15625,0.375,-0.053674884,0.0,0.0,0.0,-0.046875,-0.203125,-0.020808153,-0.0625,-0.25,-0.07936343,-0.09375,-0.390625,-0.049380265,-0.21875,0.0625,0.06213092,-0.125,-0.078125,0.007156496,-0.140625,-0.1875,-0.045629665,0.03125,-0.21875,-0.07212603,0.140625,-0.109375,-0.041619554,0.21875,0.03125,-0.0035176054
5,-0.28125,0.28125,0.003698937,-0.09375,0.1875,0.060423654,-0.046875,0.0,-0.021726288,0.046875,0.0,0.019957218,0.21875,0.03125,0.056068793,0.15625,0.25,-0.084488206,0.0,0.0,0.0,0.015625,-0.265625,-0.025936404,0.03125,-0.296875,-0.0828471,0.046875,-0.421875,-0.0473371,-0.328125,-0.109375,-0.09727256,-0.1875,-0.171875,-0.043012615,-0.078125,-0.265625,-0.07117209,0.109375,-0.265625,-0.060668938,0.21875,-0.25,0.007862256,0.34375,-0.28125,-0.030696677
6,-0.328125,0.375,-0.038691994,-0.21875,0.1875,0.17193869,-0.078125,0.015625,0.0036301976,0.0625,0.0,-0.01733663,0.125,0.1875,0.12836498,0.1875,0.40625,-0.050315864,0.0,0.0,0.0,-0.046875,-0.1875,-0.03979299,-0.0625,-0.234375,-0.08795482,-0.09375,-0.375,-0.06768937,-0.234375,0.09375,-0.006504554,-0.15625,-0.03125,-0.025271535,-0.15625,-0.171875,-0.052130856,0.046875,-0.203125,-0.08084594,0.15625,-0.0625,-0.054600254,0.21875,0.0625,-0.04101834
7,-0.078125,0.359375,-0.112308204,0.0,0.171875,-0.055348344,-0.046875,0.015625,-0.02676478,0.0625,0.0,0.017611556,0.234375,0.109375,0.03944375,0.1875,0.3125,0.016625617,0.0,0.0,0.0,0.109375,-0.203125,-0.016564382,0.125,-0.25,-0.07899878,0.1875,-0.390625,-0.06800046,-0.03125,0.078125,-0.21810856,-0.0625,-0.0625,-0.13890451,0.03125,-0.203125,-0.082813695,0.171875,-0.203125,-0.02806186,0.140625,-0.078125,0.04202175,0.21875,0.03125,0.019026468
8,-0.171875,0.234375,0.22496997,-0.3125,-0.03125,0.13221581,0.0,0.0,0.061630037,0.015625,0.0,-0.070957884,-0.21875,0.1875,-0.074830964,0.078125,0.28125,-0.09838401,0.0,0.0,0.0,-0.15625,-0.328125,-0.004617449,-0.171875,-0.328125,0.018595472,-0.265625,-0.453125,-0.03184466,-0.4375,-0.171875,0.068872385,-0.3125,-0.09375,0.07992996,-0.15625,-0.296875,0.07261744,-0.171875,-0.34375,-0.013953451,-0.375,-0.390625,-0.07176705,-0.53125,-0.390625,-0.038520165
9,-0.046875,0.359375,-0.08658089,0.078125,0.15625,-0.16055718,-0.046875,0.0,-0.03668585,0.046875,0.0,0.044803683,0.296875,0.078125,0.06083091,0.265625,0.3125,0.05412649,0.0,0.0,0.0,0.078125,-0.25,-0.024263702,0.078125,-0.296875,-0.06488008,0.125,-0.46875,-0.058604002,-0.046875,-0.078125,-0.1636965,-0.109375,-0.09375,-0.05900747,-0.03125,-0.25,-0.053639095,0.171875,-0.25,-0.020578083,0.21875,-0.09375,0.0448875,0.34375,-0.078125,-0.0472454
