,player_name,shot_outcome_name,gk_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
16,Jamie Vardy,Goal,Ben Hamer,128.125,155.5019531,146.875,118.2949219,115.625,74.05664063,93.75,76.83984375,65.625,117.0253906,15.625,156.8691406,103.125,76.98632813,146.875,46.41992188,153.125,43.39257813,184.375,25.13085938,131.25,86.80078125,128.125,77.37695313,150,46.46875,137.5,36.8984375,125,39.828125,62.5,104.4765625
17,Pascal Groß,Saved,Marcus Bettinelli,118.5625,141.1962891,80.59375,31.75927734,73,56.953125,70.46875,56.91357422,35.03125,89.26611328,52.75,122.4492188,70.46875,56.91357422,57.8125,54.18457031,57.8125,54.18457031,35.03125,25.98486328,113.5,141.1171875,83.125,64.70507813,62.875,54.26367188,55.28125,54.14501953,42.625,66.60351563,19.84375,71.31005859
18,Glenn Murray,Goal,Marcus Bettinelli,105.90625,123.2797852,116.03125,88.00048828,85.65625,69.80712891,70.46875,67.03857422,55.28125,104.7700195,24.90625,139.7329102,78.0625,69.68847656,93.25,42.08203125,93.25,42.08203125,108.4375,22.06933594,83.125,62.17382813,95.78125,54.77783203,108.4375,37.25683594,83.125,39.39257813,70.46875,46.78857422,55.28125,59.20751953
19,Eden Hazard,Goal,Martin Dúbravka,95.5,278.3515625,136.5,222.6171875,100.625,191.3066406,167.25,202.5976563,213.375,244.3183594,254.375,296.2089844,121.125,207.0019531,162.125,105.1425781,95.5,73.3515625,100.625,1.681640625,34,164.640625,49.375,134.1308594,157,84.5625,177.5,105.3828125,162.125,146.1425781,116,145.421875
20,Aaron Mooy,Goal,Heurelho da Silva Gomes,150.34375,307.0678711,77.21875,238.894043,125.96875,178.7182617,174.71875,173.3862305,241.75,265.8398438,314.875,352.2949219,150.34375,173.0053711,132.0625,87.40722656,132.0625,93.50097656,132.0625,20.37597656,40.65625,195.6665039,46.75,122.6367188,77.21875,80.45654297,186.90625,88.26416016,223.46875,137.5854492,229.5625,204.7119141
21,Joshua King,Goal,Ben Foster,212.1875,429.2841797,128.65625,298.8852539,98.28125,237.6606445,181.8125,254.1533203,303.3125,347.1767578,310.90625,430.8266602,143.84375,245.9663086,166.625,109.6347656,166.625,94.44726563,174.21875,11.03466797,52.71875,176.1987305,29.9375,175.8427734,105.875,108.6855469,227.375,118.1777344,250.15625,141.3149414,227.375,239.6777344
22,Harry Kane,Saved,Loris Karius,56,460.453125,91.25,372.8789063,144.125,267.9550781,214.625,269.0566406,285.125,384.7207031,329.1875,499.9716797,179.375,268.5058594,170.5625,109.7431641,170.5625,109.7431641,170.5625,21.61816406,82.4375,214.1162109,73.625,143.4785156,117.6875,117.7294922,223.4375,110.5693359,285.125,129.1582031,293.9375,199.7958984
23,Harry Kane,Goal,Loris Karius,356.09375,335.6577148,275.46875,247.0541992,194.84375,171.8881836,134.375,177.6621094,275.46875,247.0541992,349.375,328.8339844,161.25,171.3632813,174.6875,50.63574219,174.6875,43.91699219,188.125,10.53320313,248.59375,51.79052734,268.75,58.82421875,141.09375,23.23583984,215,24.390625,262.03125,52.00048828,228.4375,64.91308594
24,Gabriel Fernando de Jesus,Goal,Rui Pedro dos Santos Patrício,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Jamie Vardy,Goal,Thibaut Courtois,313.03125,321.8286133,248.0625,255.8447266,200.8125,160.6064453,200.8125,178.3251953,236.25,255.6601563,189,313.984375,206.71875,166.6049805,94.5,93.9765625,112.21875,88.34716797,82.6875,40.63574219,253.96875,125.9995117,189,89.546875,64.96875,93.51513672,124.03125,76.71923828,212.625,89.91601563,218.53125,131.3520508
