,under_pressure,shot_outcome_name,distance_to_goal,shot_angle,gk_name,gk_engage
419,0,Off T,8.602325267,35.53767779,Kasper Schmeichel,0.707106781
420,0,Saved,18.35755975,60.64224646,Neil Leonard Dula Etheridge,0.85264469
421,0,Saved,15.55634919,45,Neil Leonard Dula Etheridge,0.181818182
422,1,Saved,10,36.86989765,Alex McCarthy,0.424264069
423,0,Off T,7.810249676,50.19442891,Alex McCarthy,0.6401844
424,0,Off T,9.219544457,49.39870535,Mathew Ryan,0.694516336
425,1,Off T,19.41648784,34.50852299,Ben Foster,0.600618602
426,0,Off T,10.29563014,29.0546041,Kepa Arrizabalaga Revuelta,0.783075697
427,0,Blocked,18.78829423,64.79887635,Hugo Lloris,0.714083338
428,0,Goal,11.18033989,26.56505118,Hugo Lloris,0.521536192
429,0,Saved,17.88854382,63.43494882,Vicente Guaita Panadero,0.80039053
430,0,Saved,15.65247584,63.43494882,Łukasz Fabiański,0.714285714
431,0,Saved,10.81665383,33.69006753,Łukasz Fabiański,0.666666667
432,0,Off T,8.602325267,35.53767779,David de Gea Quintana,0.581238194
433,0,Blocked,11.66190379,59.03624347,Jonas Lössl,0.766964989
434,0,Goal,6.32455532,18.43494882,David de Gea Quintana,0.651920241
435,0,Off T,11.70469991,70.01689348,Łukasz Fabiański,0.81051484
436,0,Saved,8.062257748,7.125016349,Łukasz Fabiański,0.754473836
437,0,Saved,7.280109889,15.9453959,Łukasz Fabiański,0.274721128
438,0,Goal,15.26433752,31.60750225,Alex McCarthy,0.621503093
439,0,Saved,15.8113883,71.56505118,Alex McCarthy,0.681175455
440,0,Saved,17.80449381,51.84277341,Neil Leonard Dula Etheridge,0.158860294
441,1,Saved,7.280109889,15.9453959,Alex McCarthy,0.700404196
442,1,Saved,13.60147051,53.97262661,Alex McCarthy,0.693600087
443,0,Blocked,14.2126704,39.28940686,Jordan Pickford,0.847243638
444,0,Goal,3.16227766,18.43494882,Jordan Pickford,1
445,1,Goal,8.062257748,82.87498365,Łukasz Fabiański,0.754473836
446,0,Goal,9.486832981,18.43494882,Łukasz Fabiański,0.53748385
447,1,Off T,8.602325267,54.46232221,Sergio Rico González,0.657595949
448,0,Off T,19.79898987,45,Bernd Leno,0.679510628
449,0,Saved,12.08304597,65.55604522,Sergio Rico González,0.555174908
