,goalkeepers,url,pen_taker,outcome,off_target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
13,Tom Heaton,/en/matches/d5fa0563/Arsenal-Aston-Villa-September-22-2019-Premier-League,Nicolas Pépé,Scored,,61.875,248.966796875,142.3125,194.5361328125,204.1875,139.8154296875,241.3125,171.3330078125,253.6875,227.2138671875,191.8125,263.3720703125,222.75,152.48046875,290.8125,79.2939453125,290.8125,73.1064453125,315.5625,17.8056640625,290.8125,215.4189453125,290.8125,159.7314453125,253.6875,66.3388671875,327.9375,86.0615234375,303.1875,153.7373046875,210.375,177.037109375
14,"Ralf Fährmann,Michael McGovern",/en/matches/3b180c0d/Crystal-Palace-Norwich-City-September-28-2019-Premier-League,Luka Milivojević,Scored,,51.90625,243.18603515625,117.96875,187.59326171875,165.15625,141.14306640625,193.46875,155.74169921875,174.59375,216.79052734375,122.6875,267.8857421875,174.59375,150.72802734375,212.34375,75.81787109375,207.625,80.462890625,226.5,33.5703125,117.96875,154.56201171875,165.15625,65.64306640625,179.3125,65.8642578125,245.375,90.490234375,240.65625,128.16650390625,235.9375,175.2802734375
15,Mathew Ryan,/en/matches/1d4b5564/Chelsea-Brighton-and-Hove-Albion-September-28-2019-Premier-League,Jorginho,Scored,,64.5,169.4765625,64.5,130.9765625,82.0,99.75,96.0,96.46875,103.0,142.078125,124.0,177.40625,89.0,96.359375,75.0,61.140625,75.0,54.140625,64.5,18.9765625,40.0,99.09375,47.0,81.703125,61.0,60.921875,85.5,57.8046875,103.0,79.078125,106.5,110.6328125
16,Michael McGovern,/en/matches/e50b8e5b/Norwich-City-Aston-Villa-October-5-2019-Premier-League,Wesley Moraes,Missed,,168.625,485.947265625,141.34375,385.48974609375,141.34375,276.36474609375,232.28125,277.78564453125,332.3125,397.5673828125,314.125,497.314453125,195.90625,277.21728515625,232.28125,141.37939453125,232.28125,132.28564453125,277.75,42.05859375,50.40625,302.22509765625,86.78125,202.76220703125,159.53125,131.14892578125,305.03125,151.60986328125,323.21875,224.64404296875,341.40625,297.67822265625
17,Kasper Schmeichel,/en/matches/aaed1c4e/Liverpool-Leicester-City-October-5-2019-Premier-League,James Milner,Scored,,95.875,156.029296875,66.8125,129.4189453125,37.75,108.62109375,61.0,103.171875,81.34375,123.83349609375,75.53125,144.08642578125,49.375,102.990234375,52.28125,65.25439453125,55.1875,59.4873046875,58.09375,33.37646484375,20.3125,119.9736328125,23.21875,93.86279296875,43.5625,70.9306640625,63.90625,62.52978515625,69.71875,77.15185546875,72.625,94.634765625
18,Roberto,/en/matches/23fe51bc/West-Ham-United-Crystal-Palace-October-5-2019-Premier-League,Patrick van Aanholt,Scored,,76.65625,342.57275390625,146.34375,253.06787109375,223.0,177.609375,292.6875,192.6357421875,313.59375,262.64990234375,243.90625,366.09228515625,257.84375,185.12255859375,278.75,73.94921875,278.75,80.91796875,236.9375,87.2333984375,139.375,92.677734375,188.15625,93.43994140625,236.9375,80.2646484375,327.53125,74.71142578125,355.40625,75.14697265625,369.34375,103.23974609375
19,Angus Gunn,/en/matches/644a3723/Wolverhampton-Wanderers-Southampton-October-19-2019-Premier-League,Raúl Jiménez,Scored,,66.0,149.765625,55.875,115.857421875,82.875,89.279296875,99.75,89.54296875,106.5,126.7734375,133.5,167.6953125,89.625,89.384765625,89.625,69.134765625,89.625,69.134765625,86.25,45.45703125,62.625,58.587890625,66.0,58.640625,72.75,65.49609375,96.375,65.865234375,109.875,76.201171875,113.25,99.87890625
20,Angus Gunn,/en/matches/3e9712d7/Southampton-Leicester-City-October-25-2019-Premier-League,Jamie Vardy,Scored,,93.0,150.1875,89.625,123.134765625,93.0,96.1875,109.875,99.826171875,82.875,133.154296875,49.125,159.626953125,106.5,96.3984375,82.875,69.029296875,79.5,68.9765625,62.625,38.337890625,93.0,143.4375,59.25,82.16015625,69.375,68.818359375,96.375,69.240234375,130.125,73.142578125,49.125,156.251953125
21,Jordan Pickford,/en/matches/f728ceea/Brighton-and-Hove-Albion-Everton-October-26-2019-Premier-League,Neal Maupay,Scored,,136.875,171.123046875,116.625,137.056640625,76.125,112.798828125,96.375,102.990234375,116.625,130.306640625,133.5,171.0703125,86.25,106.20703125,82.875,58.904296875,82.875,58.904296875,86.25,25.20703125,72.75,136.37109375,62.625,102.462890625,66.0,65.390625,96.375,48.990234375,113.25,72.87890625,130.125,100.142578125
22,Bernd Leno,/en/matches/077b30ff/Arsenal-Crystal-Palace-October-27-2019-Premier-League,Luka Milivojević,Scored,,118.875,242.138671875,73.5625,191.5869140625,73.5625,159.8681640625,123.40625,147.05322265625,186.84375,216.01318359375,218.5625,257.2900390625,100.75,151.23046875,91.6875,69.5263671875,91.6875,69.5263671875,91.6875,10.6201171875,19.1875,154.4873046875,28.25,122.91015625,50.90625,77.95166015625,127.9375,65.5615234375,164.1875,97.8466796875,186.84375,134.45068359375
