,goalkeepers,url,pen_taker,outcome,off_target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
56,Hugo Lloris,/en/matches/b36a7b4d/Tottenham-Hotspur-Norwich-City-January-22-2020-Premier-League,Teemu Pukki,Scored,,56.5,430.6640625,117.75,332.08984375,201.96875,226.21826171875,270.875,242.607421875,278.53125,342.25830078125,224.9375,410.3271484375,232.59375,234.35302734375,232.59375,111.85302734375,224.9375,127.0458984375,232.59375,42.94677734375,110.09375,217.12646484375,117.75,148.33984375,171.34375,103.23974609375,286.1875,112.6904296875,324.46875,151.56982421875,309.15625,235.54931640625
57,Łukasz Fabiański,/en/matches/7b057bc1/West-Ham-United-Liverpool-January-29-2020-Premier-League,Mohamed Salah,Scored,,72.5625,129.0556640625,69.84375,99.10693359375,69.84375,74.63818359375,75.28125,74.72314453125,88.875,99.404296875,83.4375,121.0693359375,72.5625,74.6806640625,75.28125,80.16064453125,69.84375,80.07568359375,88.875,99.404296875,34.5,101.2734375,45.375,79.693359375,58.96875,79.90576171875,86.15625,85.76806640625,94.3125,102.2080078125,34.5,98.5546875
58,Hugo Lloris,/en/matches/e98d8736/Tottenham-Hotspur-Manchester-City-February-2-2020-Premier-League,İlkay Gündoğan,Missed,,67.125,131.689453125,56.25,104.33203125,80.71875,82.96435546875,88.875,85.810546875,72.5625,112.7431640625,75.28125,137.25439453125,83.4375,85.7255859375,67.125,52.845703125,61.6875,47.3232421875,42.65625,36.15087890625,102.46875,96.89794921875,86.15625,72.17431640625,72.5625,58.3681640625,80.71875,58.49560546875,105.1875,72.4716796875,110.625,91.587890625
59,Pepe Reina,/en/matches/ebfe971d/Aston-Villa-Tottenham-Hotspur-February-16-2020-Premier-League,Son Heung-min,Missed,,67.125,131.689453125,86.15625,110.23681640625,50.8125,93.3720703125,64.40625,88.14697265625,86.15625,88.48681640625,78.0,120.984375,56.25,93.45703125,61.6875,66.3544921875,67.125,66.439453125,56.25,49.95703125,45.375,93.287109375,31.78125,74.04345703125,50.8125,71.6220703125,75.28125,55.69189453125,86.15625,55.86181640625,97.03125,94.09423828125
60,Aaron Ramsdale,/en/matches/bcdc3fb0/Burnley-Bournemouth-February-22-2020-Premier-League,Jay Rodriguez,Scored,,124.875,200.513671875,102.0,158.21875,67.6875,115.7451171875,109.625,120.212890625,151.5625,170.4306640625,147.75,197.05859375,90.5625,119.9150390625,113.4375,78.3349609375,117.25,70.76953125,147.75,40.74609375,86.75,138.91796875,63.875,88.998046875,98.1875,70.4716796875,128.6875,82.3857421875,121.0625,108.9541015625,155.375,136.177734375
61,Kasper Schmeichel,/en/matches/4f00e03a/Leicester-City-Manchester-City-February-22-2020-Premier-League,Sergio Agüero,Missed,,151.5625,259.2431640625,133.375,228.646484375,145.5,186.3984375,200.0625,181.1884765625,260.6875,242.7607421875,315.25,292.11328125,169.75,180.71484375,163.6875,95.7451171875,163.6875,95.7451171875,157.625,35.025390625,24.25,196.62890625,66.6875,148.7919921875,121.25,101.14453125,200.0625,90.2509765625,248.5625,121.3212890625,242.5,115.1640625
62,Ben Foster,/en/matches/835d0c36/Manchester-United-Watford-February-23-2020-Premier-League,Bruno Fernandes,Scored,,102.6875,155.1357421875,84.875,158.419921875,88.4375,112.1630859375,113.375,98.302734375,113.375,130.365234375,138.3125,180.6298828125,99.125,105.205078125,77.75,65.68359375,77.75,65.68359375,59.9375,36.9052734375,38.5625,132.7587890625,45.6875,93.6826171875,59.9375,72.5302734375,95.5625,58.8369140625,127.625,73.587890625,149.0,84.609375
63,Alex McCarthy,/en/matches/947a04e9/Southampton-Newcastle-United-March-7-2020-Premier-League,Matt Ritchie,Missed,,50.3125,147.3486328125,53.125,119.267578125,70.0,99.84375,92.5,103.0078125,61.5625,119.3994140625,55.9375,144.6240234375,81.25,100.01953125,72.8125,60.5126953125,70.0,52.03125,67.1875,26.6748046875,41.875,85.341796875,50.3125,77.0361328125,58.75,57.48046875,84.0625,60.6884765625,95.3125,83.3642578125,72.8125,99.8876953125
64,Nick Pope,/en/matches/1b4c17ec/Burnley-Tottenham-Hotspur-March-7-2020-Premier-League,Dele Alli,Scored,,175.34375,280.20849609375,113.125,211.361328125,141.40625,172.20947265625,192.3125,173.0048828125,243.21875,236.01904296875,299.78125,293.46533203125,164.03125,172.56298828125,164.03125,76.40673828125,164.03125,70.75048828125,152.71875,14.01123046875,56.5625,193.5087890625,84.84375,143.04443359375,118.78125,87.01220703125,203.625,71.369140625,243.21875,128.55029296875,277.15625,191.29931640625
65,Pepe Reina,/en/matches/76f492dc/Leicester-City-Aston-Villa-March-9-2020-Premier-League,Jamie Vardy,Scored,,152.0,265.359375,70.71875,211.49560546875,137.65625,145.60400390625,185.46875,165.47607421875,209.375,194.537109375,42.03125,268.42236328125,161.5625,155.5400390625,195.03125,79.56298828125,199.8125,74.8564453125,209.375,17.630859375,166.34375,155.61474609375,142.4375,112.2099609375,156.78125,69.40283203125,238.0625,89.7978515625,233.28125,142.31689453125,190.25,146.42578125
66,Bernd Leno,/en/matches/5825b217/Manchester-City-Arsenal-June-17-2020-Premier-League,Kevin De Bruyne,Scored,,83.8125,148.4814453125,69.125,113.001953125,33.875,100.701171875,28.0,94.734375,75.0,107.21875,83.8125,22.1689453125,36.8125,94.8720703125,66.1875,63.0185546875,69.125,60.126953125,83.8125,33.9189453125,66.1875,121.7685546875,36.8125,94.8720703125,42.6875,80.2763671875,75.0,63.15625,77.9375,80.8271484375,95.5625,101.6650390625
67,Hugo Lloris,/en/matches/973a441a/Tottenham-Hotspur-Manchester-United-June-19-2020-Premier-League,Bruno Fernandes,Scored,,23.28125,164.91064453125,65.125,130.158203125,58.6875,91.4326171875,78.0,91.734375,106.96875,121.15576171875,74.78125,143.18408203125,71.5625,91.6337890625,87.65625,50.04150390625,90.875,46.873046875,113.40625,40.78759765625,45.8125,78.3564453125,49.03125,52.65673828125,84.4375,46.7724609375,90.875,50.091796875,68.34375,56.17724609375,55.46875,72.06982421875
68,Nick Pope,/en/matches/b1d3ebde/Manchester-City-Burnley-June-22-2020-Premier-League,Riyad Mahrez,Scored,,235.71875,420.79248046875,158.53125,303.80517578125,235.71875,258.69873046875,305.1875,244.3466796875,343.78125,314.41845703125,413.25,384.97265625,274.3125,251.5830078125,204.84375,126.99755859375,197.125,103.720703125,166.25,18.33203125,112.21875,287.64404296875,150.8125,226.4970703125,158.53125,141.71142578125,251.15625,112.28369140625,289.75,197.79296875,320.625,252.306640625
69,Kasper Schmeichel,/en/matches/481a9a3a/Leicester-City-Brighton-and-Hove-Albion-June-23-2020-Premier-League,Neal Maupay,Missed,,268.375,292.255859375,190.6875,234.5419921875,190.6875,185.1044921875,218.9375,164.3583984375,282.5,214.7890625,367.25,265.55078125,204.8125,178.2626953125,162.4375,92.8505859375,169.5,100.0234375,155.375,36.240234375,56.5,168.8828125,98.875,127.169921875,134.1875,106.5341796875,197.75,86.33984375,233.0625,101.0166015625,268.375,122.755859375
70,Ederson,/en/matches/bc237647/Chelsea-Manchester-City-June-25-2020-Premier-League,Willian,Scored,,79.5,515.0390625,134.4375,387.7099609375,216.84375,279.12255859375,317.5625,280.6962890625,363.34375,363.81787109375,345.03125,500.87548828125,262.625,279.837890625,271.78125,133.48095703125,271.78125,142.63720703125,235.15625,41.34619140625,106.96875,231.62451171875,152.75,177.40234375,198.53125,123.18017578125,345.03125,143.78173828125,390.8125,236.0595703125,390.8125,336.7783203125
71,Kasper Schmeichel,/en/matches/c2c7ebbf/Everton-Leicester-City-July-1-2020-Premier-League,Gylfi Sigurðsson,Scored,,39.75,130.37109375,82.8125,107.8564453125,99.375,81.615234375,115.9375,88.4990234375,132.5,111.9453125,102.6875,137.9794921875,106.0,85.03125,122.5625,62.1025390625,129.1875,62.2060546875,106.0,51.90625,99.375,84.927734375,102.6875,68.4169921875,109.3125,68.5205078125,135.8125,68.9345703125,149.0625,72.4541015625,165.625,95.900390625
72,Łukasz Fabiański,/en/matches/5df18070/West-Ham-United-Chelsea-July-1-2020-Premier-League,Willian,Scored,,35.0625,231.0322265625,89.5,169.0703125,127.1875,111.0341796875,164.875,111.623046875,185.8125,162.2001953125,135.5625,220.0400390625,148.125,111.361328125,152.3125,61.1767578125,152.3125,56.9892578125,152.3125,6.7392578125,56.0,126.671875,93.6875,89.5732421875,118.8125,56.4658203125,181.625,61.634765625,202.5625,103.8369140625,206.75,158.33984375
73,Alisson,/en/matches/5dffd237/Manchester-City-Liverpool-July-2-2020-Premier-League,Kevin De Bruyne,Scored,,31.625,117.994140625,54.625,98.228515625,69.0,84.078125,83.375,90.052734375,120.75,99.26171875,94.875,130.482421875,71.875,86.998046875,109.25,53.08203125,109.25,53.08203125,129.375,30.396484375,123.625,67.681640625,92.0,15.4375,97.75,44.27734375,123.625,59.056640625,132.25,70.69140625,103.5,50.1171875
74,Aaron Ramsdale,/en/matches/8bed0062/Manchester-United-Bournemouth-July-4-2020-Premier-League,Marcus Rashford,Scored,,69.0,124.328125,69.0,104.203125,103.5,73.1171875,126.5,79.2265625,83.375,98.677734375,86.25,127.47265625,117.875,79.091796875,80.5,44.0078125,77.625,43.962890625,46.0,29.09375,57.5,63.7734375,54.625,80.978515625,71.875,46.748046875,86.25,41.22265625,46.0,86.59375,63.25,60.98828125
75,David de Gea,/en/matches/8bed0062/Manchester-United-Bournemouth-July-4-2020-Premier-League,Joshua King,Scored,,52.84375,149.26318359375,52.84375,123.10693359375,73.1875,100.1748046875,87.71875,100.40185546875,70.28125,123.37939453125,64.46875,158.16357421875,81.90625,100.31103515625,70.28125,56.53564453125,70.28125,53.62939453125,58.65625,33.10400390625,44.125,105.533203125,49.9375,76.5615234375,55.75,56.30859375,87.71875,56.80810546875,93.53125,77.24267578125,93.53125,83.05517578125
76,Ben Foster,/en/matches/ee7944f1/Chelsea-Watford-July-4-2020-Premier-League,Willian,Scored,,117.3125,269.8486328125,79.03125,225.50048828125,117.3125,149.5361328125,161.0625,150.2197265625,215.75,216.69921875,275.90625,305.13916015625,139.1875,149.8779296875,155.59375,79.04052734375,150.125,78.955078125,161.0625,18.9697265625,29.8125,137.2314453125,57.15625,93.90869140625,111.84375,78.35693359375,199.34375,85.19287109375,232.15625,107.58056640625,221.21875,156.62841796875
77,Jordan Pickford,/en/matches/1357ee3b/Everton-Southampton-July-9-2020-Premier-League,James Ward-Prowse,Missed,1.0,84.0,129.9375,73.5,100.8984375,97.125,77.642578125,112.875,77.888671875,81.375,98.396484375,91.875,127.435546875,105.0,77.765625,76.125,43.189453125,76.125,43.189453125,55.125,37.611328125,36.75,87.19921875,49.875,66.404296875,68.25,48.31640625,68.25,43.06640625,49.875,63.779296875,57.75,40.27734375
78,Pepe Reina,/en/matches/61422f26/Aston-Villa-Manchester-United-July-9-2020-Premier-League,Bruno Fernandes,Scored,,23.625,136.869140625,70.875,113.982421875,81.375,72.146484375,99.75,72.43359375,126.0,54.46875,26.25,131.66015625,89.25,69.64453125,84.0,72.1875,94.5,53.9765625,141.75,23.21484375,115.5,93.6796875,107.625,59.431640625,115.5,35.9296875,115.5,35.9296875,60.375,87.568359375,115.5,72.6796875
79,Martin Dúbravka,/en/matches/ae59ff28/Watford-Newcastle-United-July-11-2020-Premier-League,Troy Deeney,Scored,,151.125,159.298828125,110.4375,135.4130859375,93.0,65.390625,81.375,94.271484375,49.40625,114.11572265625,52.3125,151.9423828125,84.28125,71.06689453125,84.28125,71.06689453125,52.3125,47.3173828125,34.875,38.326171875,107.53125,68.52392578125,124.96875,138.54638671875,107.53125,85.96142578125,46.5,55.9453125,75.5625,102.8994140625,75.5625,73.8369140625
80,Martin Dúbravka,/en/matches/ae59ff28/Watford-Newcastle-United-July-11-2020-Premier-League,Troy Deeney,Scored,,173.8125,158.6533203125,41.84375,105.09130859375,96.5625,96.2900390625,109.4375,90.0537109375,128.75,132.19921875,173.8125,161.8720703125,103.0,93.171875,61.15625,50.67431640625,57.9375,47.4052734375,28.96875,27.64013671875,54.71875,89.19873046875,70.8125,73.3564453125,48.28125,53.69189453125,70.8125,47.6064453125,96.5625,67.3212890625,90.125,96.189453125
81,Jordan Pickford,/en/matches/476e8583/Wolverhampton-Wanderers-Everton-July-12-2020-Premier-League,Raúl Jiménez,Scored,,35.40625,156.49072265625,109.4375,125.4599609375,99.78125,83.46533203125,96.5625,83.4150390625,154.5,97.1953125,151.28125,135.77001953125,96.5625,83.4150390625,119.09375,54.79833984375,122.3125,51.6298828125,144.84375,32.66943359375,103.0,109.265625,103.0,77.078125,112.65625,51.47900390625,122.3125,51.6298828125,115.875,70.841796875,128.75,93.57421875
82,Kasper Schmeichel,/en/matches/d2adf574/Bournemouth-Leicester-City-July-12-2020-Premier-League,Junior Stanislas,Scored,,170.59375,155.38427734375,141.625,132.400390625,93.34375,105.89599609375,103.0,102.828125,74.03125,124.90673828125,96.5625,154.2275390625,99.78125,105.99658203125,77.25,70.23828125,74.03125,63.75048828125,61.15625,41.01806640625,45.0625,105.1416015625,57.9375,89.2490234375,64.375,73.255859375,86.90625,67.17041015625,106.21875,86.78466796875,115.875,109.466796875
83,Rui Patrício,/en/matches/a7c5d31f/Burnley-Wolverhampton-Wanderers-July-15-2020-Premier-League,Chris Wood,Scored,,125.53125,148.24267578125,154.5,110.0703125,119.09375,83.76708984375,96.5625,83.4150390625,70.8125,124.8564453125,28.96875,156.39013671875,106.21875,83.56591796875,148.0625,45.5947265625,151.28125,42.42626953125,180.25,36.44140625,122.3125,138.5361328125,144.84375,68.07568359375,157.71875,45.74560546875,141.625,35.837890625,77.25,105.64453125,93.34375,115.55224609375
84,Aaron Ramsdale,/en/matches/bbd4160f/Bournemouth-Southampton-July-19-2020-Premier-League,Danny Ings,Missed,,46.25,203.37890625,95.0,155.390625,95.0,95.390625,125.0,103.359375,162.5,152.6953125,117.5,193.2421875,110.0,99.375,147.5,58.7109375,147.5,58.7109375,181.25,36.73828125,50.0,102.1875,87.5,65.2734375,125.0,50.859375,170.0,66.5625,177.5,81.6796875,185.0,89.296875
85,Ben Foster,/en/matches/9979847f/Watford-Manchester-City-July-21-2020-Premier-League,Raheem Sterling,Missed,,180.9375,331.5458984375,126.65625,258.32275390625,132.6875,180.0107421875,186.96875,168.79638671875,247.28125,260.20751953125,307.59375,339.55615234375,150.78125,180.29345703125,156.8125,89.9189453125,174.90625,72.10791015625,217.125,36.580078125,24.125,178.314453125,235.21875,133.36279296875,211.09375,96.79833984375,205.0625,90.6728515625,48.25,118.37890625,235.21875,187.64404296875
86,David de Gea,/en/matches/bf25e016/Manchester-United-West-Ham-United-July-22-2020-Premier-League,Michail Antonio,Scored,,278.0,400.234375,60.0,281.015625,80.4375,213.2099609375,141.75,207.35546875,196.25,289.95703125,141.75,364.04296875,114.5,206.9296875,107.6875,111.4482421875,107.6875,97.8232421875,107.6875,16.0732421875,39.5625,239.8212890625,39.5625,171.6962890625,60.0,117.515625,162.1875,112.2998046875,196.25,174.14453125,216.6875,222.1513671875
87,Dean Henderson,/en/matches/3e5b45b7/Southampton-Sheffield-United-July-26-2020-Premier-League,Danny Ings,Scored,,171.21875,196.22216796875,67.09375,138.81396484375,122.875,106.216796875,141.46875,106.50732421875,126.59375,150.89990234375,48.5,190.5859375,134.03125,110.10986328125,141.46875,106.50732421875,141.46875,102.78857421875,189.8125,110.9814453125,104.28125,61.30126953125,122.875,128.529296875,148.90625,106.62353515625,141.46875,99.06982421875,108.0,61.359375,111.71875,98.60498046875
88,Jordan Pickford,/en/matches/2a3b8f05/Everton-Bournemouth-July-26-2020-Premier-League,Joshua King,Scored,,68.0,143.609375,50.9375,112.0615234375,68.0,81.046875,85.0625,78.4697265625,62.3125,109.3955078125,70.84375,146.49755859375,79.375,81.224609375,53.78125,52.38720703125,50.9375,52.3427734375,39.5625,29.4150390625,31.03125,86.15673828125,36.71875,72.02685546875,42.40625,55.05322265625,68.0,55.453125,93.59375,70.07177734375,93.59375,87.13427734375
89,Ben Foster,/en/matches/5ecaeb4b/Arsenal-Watford-July-26-2020-Premier-League,Pierre-Emerick Aubameyang,Scored,,45.25,137.56640625,45.25,111.97265625,65.15625,89.53369140625,79.375,92.599609375,59.46875,112.19482421875,56.625,143.431640625,76.53125,92.55517578125,53.78125,55.23095703125,50.9375,49.4990234375,39.5625,29.4150390625,36.71875,91.93310546875,42.40625,77.80322265625,45.25,57.94140625,62.3125,52.5205078125,76.53125,72.64892578125,93.59375,92.82177734375
90,Emiliano Martínez,/en/matches/5ecaeb4b/Arsenal-Watford-July-26-2020-Premier-League,Troy Deeney,Scored,,25.78125,293.12158203125,73.53125,240.14892578125,127.25,163.39453125,186.9375,164.3271484375,228.71875,242.57373046875,294.375,333.130859375,157.09375,163.86083984375,151.125,80.205078125,157.09375,68.36083984375,157.09375,8.67333984375,67.5625,180.3681640625,91.4375,138.9599609375,109.34375,79.55224609375,198.875,80.951171875,228.71875,147.07373046875,246.625,207.041015625
91,Kasper Schmeichel,/en/matches/3873cc78/Leicester-City-Manchester-United-July-26-2020-Premier-League,Bruno Fernandes,Scored,,45.84375,224.45068359375,79.59375,170.13427734375,121.78125,137.04345703125,151.3125,141.7236328125,172.40625,163.14697265625,159.75,213.57421875,134.4375,137.2412109375,138.65625,78.24462890625,142.875,74.091796875,147.09375,27.75146484375,58.5,114.9609375,71.15625,110.93994140625,109.125,77.783203125,172.40625,78.77197265625,201.9375,117.2021484375,214.59375,146.93115234375
92,Illan Meslier,/en/matches/21b58926/Liverpool-Leeds-United-September-12-2020-Premier-League,Mohamed Salah,Scored,,39.0,145.609375,135.0,111.109375,111.0,101.734375,84.0,92.3125,78.0,125.21875,75.0,137.171875,99.0,98.546875,132.0,57.0625,132.0,57.0625,150.0,30.34375,129.0,138.015625,132.0,102.0625,141.0,45.203125,117.0,44.828125,123.0,29.921875,99.0,56.546875
93,Illan Meslier,/en/matches/21b58926/Liverpool-Leeds-United-September-12-2020-Premier-League,Mohamed Salah,Scored,,64.9375,137.6552734375,73.46875,109.35107421875,84.84375,89.62255859375,93.375,89.755859375,76.3125,109.3955078125,67.78125,146.23095703125,87.6875,89.6669921875,82.0,58.296875,79.15625,55.40869140625,70.625,26.837890625,59.25,80.69140625,70.625,69.494140625,73.46875,58.16357421875,90.53125,61.27392578125,107.59375,89.97802734375,93.375,109.662109375
94,Sam Johnstone,/en/matches/7dd01ca9/West-Bromwich-Albion-Leicester-City-September-13-2020-Premier-League,Jamie Vardy,Scored,,51.25,176.76953125,44.75,124.66796875,77.25,102.42578125,93.5,99.4296875,70.75,128.32421875,67.5,177.0234375,90.25,99.37890625,57.75,59.87109375,54.5,56.5703125,38.25,27.06640625,48.0,101.96875,70.75,79.57421875,51.25,59.76953125,64.25,59.97265625,96.75,79.98046875,48.0,85.71875
95,Sam Johnstone,/en/matches/7dd01ca9/West-Bromwich-Albion-Leicester-City-September-13-2020-Premier-League,Jamie Vardy,Scored,,44.75,163.66796875,44.75,121.41796875,74.0,89.375,103.25,83.33203125,70.75,115.32421875,57.75,160.62109375,87.0,83.078125,54.5,56.5703125,51.25,50.01953125,35.0,27.015625,25.25,111.36328125,35.0,88.765625,41.5,59.6171875,67.5,43.7734375,83.75,70.02734375,77.25,66.67578125
96,Mathew Ryan,/en/matches/9d7641eb/Brighton-and-Hove-Albion-Chelsea-September-14-2020-Premier-League,Jorginho,Scored,,64.625,154.572265625,85.1875,119.6435546875,99.875,72.873046875,79.3125,72.5517578125,82.25,119.59765625,73.4375,157.6474609375,91.0625,72.7353515625,114.5625,61.3525390625,114.5625,58.4150390625,126.3125,46.8486328125,105.75,72.96484375,105.75,114.08984375,120.4375,67.3193359375,108.6875,46.5732421875,94.0,58.09375,94.0,78.65625
97,Alphonse Areola,/en/matches/583c2b60/Leeds-United-Fulham-September-19-2020-Premier-League,Mateusz Klich,Scored,,223.90625,409.51416015625,214.6875,363.2763671875,343.75,263.88671875,297.65625,235.51025390625,205.46875,353.91357421875,113.28125,490.75439453125,316.09375,245.01708984375,417.5,126.7578125,435.9375,108.6083984375,472.8125,26.2158203125,352.96875,319.34326171875,445.15625,237.81494140625,472.8125,155.2783203125,362.1875,107.4560546875,297.65625,189.41650390625,288.4375,235.3662109375
98,Illan Meslier,/en/matches/583c2b60/Leeds-United-Fulham-September-19-2020-Premier-League,Aleksandar Mitrović,Scored,,102.75,154.98046875,93.375,117.333984375,46.5,94.7265625,68.375,91.943359375,96.5,114.2578125,99.625,154.931640625,59.0,94.921875,87.125,64.111328125,84.0,64.0625,112.125,48.876953125,43.375,107.177734375,46.5,82.2265625,71.5,60.7421875,99.625,64.306640625,105.875,86.279296875,118.375,108.349609375
99,David de Gea,/en/matches/97279323/Manchester-United-Crystal-Palace-September-19-2020-Premier-League,Wilfried Zaha,Scored,,125.8125,161.7158203125,103.5,135.8671875,81.1875,97.2685546875,62.0625,96.9697265625,39.75,118.93359375,68.4375,138.5068359375,68.4375,97.0693359375,65.25,103.39453125,65.25,103.39453125,55.6875,33.1201171875,90.75,119.73046875,84.375,78.193359375,84.375,100.505859375,49.3125,109.5205078125,49.3125,84.0205078125,55.6875,87.3076171875
100,Hugo Lloris,/en/matches/967efd56/Southampton-Tottenham-Hotspur-September-20-2020-Premier-League,Danny Ings,Scored,,62.0625,160.7197265625,39.75,118.93359375,78.0,90.84375,97.125,97.517578125,71.625,128.994140625,81.1875,161.0185546875,87.5625,94.1806640625,65.25,46.01953125,62.0625,39.5947265625,36.5625,13.6962890625,42.9375,112.6083984375,71.625,52.494140625,52.5,49.0078125,81.1875,46.2685546875,113.0625,72.2666015625,116.25,104.19140625
101,Karl Darlow,/en/matches/845f6a86/Newcastle-United-Brighton-and-Hove-Albion-September-20-2020-Premier-League,Neal Maupay,Scored,,138.75,139.24609375,101.125,117.158203125,87.6875,84.6982421875,68.875,92.466796875,39.3125,105.4423828125,58.125,132.611328125,76.9375,89.9052734375,47.375,49.130859375,47.375,46.443359375,23.1875,38.0029296875,50.0625,81.4228515625,50.0625,70.6728515625,50.0625,49.1728515625,42.0,51.734375,66.1875,65.5498046875,60.8125,124.5908203125
102,Alisson,/en/matches/c64e5792/Chelsea-Liverpool-September-20-2020-Premier-League,Jorginho,Missed,,58.125,137.986328125,52.75,108.33984375,79.625,84.572265625,101.125,84.908203125,101.125,106.408203125,103.8125,144.0751953125,90.375,84.740234375,74.25,46.86328125,68.875,41.404296875,50.0625,16.9228515625,52.75,86.83984375,55.4375,68.0693359375,60.8125,46.6533203125,87.6875,44.3857421875,114.5625,60.9306640625,122.625,87.931640625
103,Emiliano Martínez,/en/matches/98b4b5b6/Aston-Villa-Sheffield-United-September-21-2020-Premier-League,John Lundstram,Missed,,36.625,113.462890625,47.375,89.443359375,58.125,73.486328125,76.9375,73.7802734375,101.125,106.408203125,95.75,103.63671875,68.875,73.654296875,98.4375,44.5537109375,98.4375,44.5537109375,114.5625,20.6181640625,31.25,110.69140625,44.6875,84.0263671875,98.4375,44.5537109375,101.125,49.970703125,106.5,68.8671875,122.625,98.681640625
104,Rui Patrício,/en/matches/1c17eca3/Wolverhampton-Wanderers-Manchester-City-September-21-2020-Premier-League,Kevin De Bruyne,Scored,,62.21875,304.40966796875,135.75,232.02734375,192.3125,170.6923828125,243.21875,188.45654296875,260.1875,228.3154296875,186.65625,306.35400390625,214.9375,176.7021484375,260.1875,86.9091796875,265.84375,81.34130859375,288.46875,25.13232421875,164.03125,170.25048828125,169.6875,113.7763671875,209.28125,74.80126953125,311.09375,93.36083984375,316.75,166.98046875,328.0625,212.4072265625
105,David de Gea,/en/matches/21495573/Brighton-and-Hove-Albion-Manchester-United-September-26-2020-Premier-League,Neal Maupay,Scored,,34.4375,278.9912109375,110.375,219.427734375,161.0,164.53125,201.5,170.2265625,221.75,205.98046875,171.125,281.126953125,181.25,164.84765625,206.5625,84.2431640625,206.5625,74.1181640625,221.75,18.66796875,130.625,138.744140625,135.6875,113.5107421875,166.0625,78.5478515625,252.125,95.080078125,257.1875,150.8466796875,262.25,211.67578125
106,Mathew Ryan,/en/matches/21495573/Brighton-and-Hove-Albion-Manchester-United-September-26-2020-Premier-League,Bruno Fernandes,Scored,,69.5,166.2890625,35.125,121.064453125,83.25,111.50390625,93.5625,108.2275390625,117.625,149.853515625,158.875,184.873046875,86.6875,108.1201171875,62.625,66.494140625,62.625,63.056640625,35.125,38.564453125,14.5,86.3671875,48.875,90.341796875,52.3125,56.0205078125,79.8125,66.7626953125,107.3125,98.1298828125,114.1875,132.6123046875
107,Vicente Guaita,/en/matches/7387a72e/Crystal-Palace-Everton-September-26-2020-Premier-League,Richarlison,Scored,,114.1875,170.4248046875,93.5625,135.7275390625,66.0625,107.7978515625,93.5625,108.2275390625,127.9375,139.7021484375,131.375,167.255859375,79.8125,108.0126953125,103.875,67.138671875,110.75,60.37109375,131.375,33.193359375,48.875,114.404296875,62.625,83.681640625,90.125,63.486328125,121.0625,67.4072265625,134.8125,91.6845703125,152.0,112.578125
108,Hugo Lloris,/en/matches/002c4e89/Tottenham-Hotspur-Newcastle-United-September-27-2020-Premier-League,Callum Wilson,Scored,,69.0,129.140625,71.71875,101.99560546875,44.53125,85.25830078125,36.375,85.130859375,69.0,101.953125,69.0,126.421875,44.53125,85.25830078125,55.40625,58.24072265625,55.40625,55.52197265625,39.09375,22.64208984375,71.71875,34.02685546875,71.71875,44.90185546875,63.5625,47.4931640625,55.40625,52.80322265625,58.125,61.001953125,39.09375,96.04833984375
109,Ederson,/en/matches/31c2a061/Manchester-City-Leicester-City-September-27-2020-Premier-League,Jamie Vardy,Scored,,532.78125,652.27783203125,421.84375,528.51318359375,322.0,382.734375,244.34375,392.61474609375,133.40625,457.44384765625,255.4375,614.6630859375,266.53125,392.96142578125,188.875,180.966796875,177.78125,136.41845703125,144.5,13.8671875,466.21875,373.89404296875,366.375,261.396484375,277.625,160.166015625,89.03125,201.59423828125,122.3125,368.5205078125,155.59375,424.50927734375
110,Ederson,/en/matches/31c2a061/Manchester-City-Leicester-City-September-27-2020-Premier-League,Jamie Vardy,Scored,,56.5625,153.4619140625,53.25,120.28515625,79.75,94.19921875,99.625,101.134765625,73.125,120.595703125,73.125,163.658203125,93.0,97.71875,79.75,51.13671875,79.75,51.13671875,63.1875,21.0654296875,43.3125,53.8798828125,36.6875,63.7138671875,59.875,44.201171875,99.625,58.072265625,122.8125,55.1220703125,146.0,65.421875
111,Ederson,/en/matches/31c2a061/Manchester-City-Leicester-City-September-27-2020-Premier-League,Youri Tielemans,Scored,,63.1875,170.1279296875,112.875,157.654296875,102.9375,101.1865234375,93.0,114.28125,40.0,136.640625,165.875,184.982421875,93.0,110.96875,46.625,57.244140625,43.3125,53.8798828125,30.0625,23.8603515625,53.25,116.97265625,76.4375,80.8974609375,46.625,57.244140625,40.0,60.453125,59.875,83.951171875,79.75,114.07421875
112,Vicente Guaita,/en/matches/d97aa1b5/Chelsea-Crystal-Palace-October-3-2020-Premier-League,Jorginho,Scored,,63.1875,160.1904296875,26.75,123.18359375,63.1875,90.6279296875,89.6875,87.7294921875,99.625,137.572265625,136.0625,184.5166015625,76.4375,87.5224609375,53.25,54.03515625,53.25,50.72265625,20.125,33.642578125,30.0625,116.6103515625,46.625,90.369140625,36.6875,50.4638671875,69.8125,54.2939453125,109.5625,68.1650390625,139.375,71.943359375
