,goalkeepers,url,pen_taker,outcome,off_target
48,Paulo Gazzaniga,/en/matches/46697bf6/Watford-Tottenham-Hotspur-January-18-2020-Premier-League,Troy Deeney,Missed,
49,Alex McCarthy,/en/matches/9d6674f8/Southampton-Wolverhampton-Wanderers-January-18-2020-Premier-League,Raúl Jiménez,Scored,
50,Aaron Ramsdale,/en/matches/2550abdc/Norwich-City-Bournemouth-January-18-2020-Premier-League,Teemu Pukki,Scored,
51,Nick Pope,/en/matches/bd102a2b/Burnley-Leicester-City-January-19-2020-Premier-League,Jamie Vardy,Missed,
52,Dean Henderson,/en/matches/ae7cb0c2/Sheffield-United-Manchester-City-January-21-2020-Premier-League,Gabriel Jesus,Missed,
53,Bernd Leno,/en/matches/38d058ad/North-West-London-Derby-Chelsea-Arsenal-January-21-2020-Premier-League,Jorginho,Scored,
54,Darren Randolph,/en/matches/354b03ac/Leicester-City-West-Ham-United-January-22-2020-Premier-League,Ayoze Pérez,Scored,
55,Kasper Schmeichel,/en/matches/354b03ac/Leicester-City-West-Ham-United-January-22-2020-Premier-League,Mark Noble,Scored,
56,Hugo Lloris,/en/matches/b36a7b4d/Tottenham-Hotspur-Norwich-City-January-22-2020-Premier-League,Teemu Pukki,Scored,
57,Łukasz Fabiański,/en/matches/7b057bc1/West-Ham-United-Liverpool-January-29-2020-Premier-League,Mohamed Salah,Scored,
58,Hugo Lloris,/en/matches/e98d8736/Tottenham-Hotspur-Manchester-City-February-2-2020-Premier-League,İlkay Gündoğan,Missed,
59,Pepe Reina,/en/matches/ebfe971d/Aston-Villa-Tottenham-Hotspur-February-16-2020-Premier-League,Son Heung-min,Missed,
60,Aaron Ramsdale,/en/matches/bcdc3fb0/Burnley-Bournemouth-February-22-2020-Premier-League,Jay Rodriguez,Scored,
61,Kasper Schmeichel,/en/matches/4f00e03a/Leicester-City-Manchester-City-February-22-2020-Premier-League,Sergio Agüero,Missed,
62,Ben Foster,/en/matches/835d0c36/Manchester-United-Watford-February-23-2020-Premier-League,Bruno Fernandes,Scored,
63,Alex McCarthy,/en/matches/947a04e9/Southampton-Newcastle-United-March-7-2020-Premier-League,Matt Ritchie,Missed,
64,Nick Pope,/en/matches/1b4c17ec/Burnley-Tottenham-Hotspur-March-7-2020-Premier-League,Dele Alli,Scored,
65,Pepe Reina,/en/matches/76f492dc/Leicester-City-Aston-Villa-March-9-2020-Premier-League,Jamie Vardy,Scored,
66,Bernd Leno,/en/matches/5825b217/Manchester-City-Arsenal-June-17-2020-Premier-League,Kevin De Bruyne,Scored,
67,Hugo Lloris,/en/matches/973a441a/Tottenham-Hotspur-Manchester-United-June-19-2020-Premier-League,Bruno Fernandes,Scored,
68,Nick Pope,/en/matches/b1d3ebde/Manchester-City-Burnley-June-22-2020-Premier-League,Riyad Mahrez,Scored,
69,Kasper Schmeichel,/en/matches/481a9a3a/Leicester-City-Brighton-and-Hove-Albion-June-23-2020-Premier-League,Neal Maupay,Missed,
70,Ederson,/en/matches/bc237647/Chelsea-Manchester-City-June-25-2020-Premier-League,Willian,Scored,
71,Kasper Schmeichel,/en/matches/c2c7ebbf/Everton-Leicester-City-July-1-2020-Premier-League,Gylfi Sigurðsson,Scored,
72,Łukasz Fabiański,/en/matches/5df18070/West-Ham-United-Chelsea-July-1-2020-Premier-League,Willian,Scored,
73,Alisson,/en/matches/5dffd237/Manchester-City-Liverpool-July-2-2020-Premier-League,Kevin De Bruyne,Scored,
74,Aaron Ramsdale,/en/matches/8bed0062/Manchester-United-Bournemouth-July-4-2020-Premier-League,Marcus Rashford,Scored,
75,David de Gea,/en/matches/8bed0062/Manchester-United-Bournemouth-July-4-2020-Premier-League,Joshua King,Scored,
76,Ben Foster,/en/matches/ee7944f1/Chelsea-Watford-July-4-2020-Premier-League,Willian,Scored,
77,Jordan Pickford,/en/matches/1357ee3b/Everton-Southampton-July-9-2020-Premier-League,James Ward-Prowse,Missed,1
78,Pepe Reina,/en/matches/61422f26/Aston-Villa-Manchester-United-July-9-2020-Premier-League,Bruno Fernandes,Scored,
79,Martin Dúbravka,/en/matches/ae59ff28/Watford-Newcastle-United-July-11-2020-Premier-League,Troy Deeney,Scored,
80,Martin Dúbravka,/en/matches/ae59ff28/Watford-Newcastle-United-July-11-2020-Premier-League,Troy Deeney,Scored,
81,Jordan Pickford,/en/matches/476e8583/Wolverhampton-Wanderers-Everton-July-12-2020-Premier-League,Raúl Jiménez,Scored,
82,Kasper Schmeichel,/en/matches/d2adf574/Bournemouth-Leicester-City-July-12-2020-Premier-League,Junior Stanislas,Scored,
83,Rui Patrício,/en/matches/a7c5d31f/Burnley-Wolverhampton-Wanderers-July-15-2020-Premier-League,Chris Wood,Scored,
84,Aaron Ramsdale,/en/matches/bbd4160f/Bournemouth-Southampton-July-19-2020-Premier-League,Danny Ings,Missed,
85,Ben Foster,/en/matches/9979847f/Watford-Manchester-City-July-21-2020-Premier-League,Raheem Sterling,Missed,
86,David de Gea,/en/matches/bf25e016/Manchester-United-West-Ham-United-July-22-2020-Premier-League,Michail Antonio,Scored,
87,Dean Henderson,/en/matches/3e5b45b7/Southampton-Sheffield-United-July-26-2020-Premier-League,Danny Ings,Scored,
88,Jordan Pickford,/en/matches/2a3b8f05/Everton-Bournemouth-July-26-2020-Premier-League,Joshua King,Scored,
89,Ben Foster,/en/matches/5ecaeb4b/Arsenal-Watford-July-26-2020-Premier-League,Pierre-Emerick Aubameyang,Scored,
90,Emiliano Martínez,/en/matches/5ecaeb4b/Arsenal-Watford-July-26-2020-Premier-League,Troy Deeney,Scored,
91,Kasper Schmeichel,/en/matches/3873cc78/Leicester-City-Manchester-United-July-26-2020-Premier-League,Bruno Fernandes,Scored,
92,Illan Meslier,/en/matches/21b58926/Liverpool-Leeds-United-September-12-2020-Premier-League,Mohamed Salah,Scored,
93,Illan Meslier,/en/matches/21b58926/Liverpool-Leeds-United-September-12-2020-Premier-League,Mohamed Salah,Scored,
94,Sam Johnstone,/en/matches/7dd01ca9/West-Bromwich-Albion-Leicester-City-September-13-2020-Premier-League,Jamie Vardy,Scored,
95,Sam Johnstone,/en/matches/7dd01ca9/West-Bromwich-Albion-Leicester-City-September-13-2020-Premier-League,Jamie Vardy,Scored,
96,Mathew Ryan,/en/matches/9d7641eb/Brighton-and-Hove-Albion-Chelsea-September-14-2020-Premier-League,Jorginho,Scored,
97,Alphonse Areola,/en/matches/583c2b60/Leeds-United-Fulham-September-19-2020-Premier-League,Mateusz Klich,Scored,
98,Illan Meslier,/en/matches/583c2b60/Leeds-United-Fulham-September-19-2020-Premier-League,Aleksandar Mitrović,Scored,
99,David de Gea,/en/matches/97279323/Manchester-United-Crystal-Palace-September-19-2020-Premier-League,Wilfried Zaha,Scored,
100,Hugo Lloris,/en/matches/967efd56/Southampton-Tottenham-Hotspur-September-20-2020-Premier-League,Danny Ings,Scored,
101,Karl Darlow,/en/matches/845f6a86/Newcastle-United-Brighton-and-Hove-Albion-September-20-2020-Premier-League,Neal Maupay,Scored,
102,Alisson,/en/matches/c64e5792/Chelsea-Liverpool-September-20-2020-Premier-League,Jorginho,Missed,
103,Emiliano Martínez,/en/matches/98b4b5b6/Aston-Villa-Sheffield-United-September-21-2020-Premier-League,John Lundstram,Missed,
104,Rui Patrício,/en/matches/1c17eca3/Wolverhampton-Wanderers-Manchester-City-September-21-2020-Premier-League,Kevin De Bruyne,Scored,
105,David de Gea,/en/matches/21495573/Brighton-and-Hove-Albion-Manchester-United-September-26-2020-Premier-League,Neal Maupay,Scored,
106,Mathew Ryan,/en/matches/21495573/Brighton-and-Hove-Albion-Manchester-United-September-26-2020-Premier-League,Bruno Fernandes,Scored,
107,Vicente Guaita,/en/matches/7387a72e/Crystal-Palace-Everton-September-26-2020-Premier-League,Richarlison,Scored,
