,duration,play_pattern_name,under_pressure,shot_outcome_name,shot_first_time,distance_to_goal,shot_angle,gk_name,gk_engage,assist_type,player_name
485,0.4059,From Counter,0,Off T,1,8.06225774829855,60.25511870305777,David de Gea Quintana,0.8944271909999159,Cross,Luciano Vietto
486,0.558193,Regular Play,0,Goal,1,14.866068747318506,70.3461759419467,Sergio Rico González,0.724490771389156,Pass,Paul Pogba
487,0.2507,From Throw In,0,Saved,0,11.40175425099138,15.255118703057775,Sergio Rico González,0.6679474875720742,Other,Alexis Alejandro Sánchez Sánchez
488,0.657102,From Throw In,0,Off T,1,4.123105625617661,14.036243467926479,Kasper Schmeichel,0.7276068751089989,Cross,Chris Wood
489,0.538936,From Counter,0,Saved,0,8.602325267042627,35.53767779197438,Kasper Schmeichel,0.4191368221424546,Pass,Matěj Vydra
490,0.600573,From Counter,0,Goal,0,10.295630140987,60.94539590092286,Mathew Ryan,0.412081691846067,Pass,Pierre-Emile Højbjerg
491,0.525246,From Corner,0,Off T,1,8.246211251235321,75.96375653207353,Angus Gunn,0.5,Pass,Bernardo Fernandes da Silva Junior
492,0.5229,From Corner,0,Saved,0,11.313708498984761,45.0,Łukasz Fabiański,0.7499999999999999,Pass,Terence Kongolo
493,0.3019,Regular Play,0,Saved,1,11.788553770501276,10.261374717234398,Angus Gunn,0.6206376144157858,Cross,Andre Gray
494,0.342705,From Free Kick,0,Post,0,9.433981132056603,57.9946167919165,Rui Pedro dos Santos Patrício,0.1499063377991723,Pass,Chris Wood
495,1.009542,Regular Play,1,Off T,0,16.85823241030921,41.633539336570216,Hugo Lloris,0.8374166905322487,Pass,Jeffrey Schlupp
496,0.145799,From Throw In,0,Saved,0,8.246211251235321,75.96375653207353,Sergio Rico González,0.6530471562110152,Pass,Andrew Robertson
497,0.5612,Regular Play,0,Saved,0,14.317821063276353,24.775140568831922,Sergio Rico González,0.5630925063714729,Pass,Mohamed Salah
498,0.620712,From Throw In,0,Off T,0,13.511846653955189,61.72796392056727,Bernd Leno,0.7711879071865888,Pass,Raúl Alonso Jiménez Rodríguez
499,0.6326,From Free Kick,0,Saved,1,5.0990195135927845,11.309932474020215,Sergio Rico González,0.3922322702763681,Other,Nicolás Hernán Otamendi
500,0.887,From Throw In,1,Post,1,14.866068747318506,42.27368900609374,Sergio Rico González,0.6659120918162917,Pass,Kyle Walker
501,0.827327,Regular Play,1,Off T,0,19.4164878389476,11.888658039627975,Bernd Leno,0.6871306579640137,Other,Bobby Reid
502,1.199088,Regular Play,1,Goal,0,17.204650534085253,54.46232220802562,Neil Leonard Dula Etheridge,0.7819760140096923,Pass,Alexandre Lacazette
503,0.6456,From Counter,0,Goal,0,14.560219778561036,15.945395900922854,Mathew Ryan,0.35020209798623747,Pass,Eden Hazard
504,0.9999,From Throw In,1,Goal,0,21.95449840010015,59.93141717813756,Tom Heaton,0.6195300052345263,Pass,André Schürrle
505,1.328576,From Throw In,1,Goal,0,14.866068747318506,19.65382405805331,Martin Dúbravka,0.42543562981151706,Pass,Pedro Eliezer Rodríguez Ledesma
506,0.9984,From Throw In,1,Off T,0,20.12461179749811,26.565051177077994,Kepa Arrizabalaga Revuelta,0.5187830013301667,Pass,Ayoze Pérez Gutiérrez
