,goalkeepers,url,pen_taker,outcome,off_target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
10,Bernd Leno,/en/matches/8257eda8/Watford-Arsenal-September-15-2019-Premier-League,Roberto Pereyra,Scored,,-0.421875,0.296875,-0.026908983,-0.25,0.15625,0.22310308,-0.078125,-0.03125,0.012141179,0.078125,0.03125,-0.009308957,0.125,0.125,0.28558657,-0.4375,0.296875,0.019796627,0.0,0.0,0.0,0.09375,-0.265625,-0.0439321,0.09375,-0.28125,-0.123891085,0.15625,-0.4375,-0.053048443,-0.203125,-0.015625,0.06343888,-0.140625,-0.203125,-0.03281548,-0.015625,-0.296875,-0.073059045,0.203125,-0.21875,-0.06571582,0.28125,-0.109375,-0.01577954,0.296875,-0.234375,-0.10957633
11,Aaron Ramsdale,/en/matches/ebbb65f5/Southampton-Bournemouth-September-20-2019-Premier-League,James Ward-Prowse,Scored,,0.296875,0.359375,0.09531571,0.09375,0.1875,0.1286432,0.0625,0.0,-0.008107875,0.0,0.0,0.008951698,-0.21875,0.140625,0.16680683,-0.15625,0.296875,-0.020266073,0.0,0.0,0.0,-0.03125,0.0,0.0010690801,-0.078125,0.171875,-0.0694934,-0.34375,-0.25,-0.09336153,-0.15625,0.0,0.1524536,0.125,0.078125,-0.0038654634,-0.03125,0.140625,-0.049348477,-0.078125,0.078125,0.02685385,-0.1875,-0.03125,-0.11581492,-0.140625,0.28125,-0.023815867
12,Ben Foster,/en/matches/4672d0d7/Manchester-City-Watford-September-21-2019-Premier-League,Sergio Agüero,Scored,,-0.109375,0.28125,0.020459626,-0.125,0.140625,0.18118046,-0.03125,0.0,0.041443452,0.03125,0.0,-0.04013888,-0.0625,0.125,0.019778308,-0.03125,0.296875,-0.08022143,0.0,0.0,0.0,-0.109375,-0.1875,-0.05136938,-0.109375,-0.1875,-0.0925093,-0.203125,-0.328125,-0.056657013,-0.078125,-0.03125,0.16406168,-0.0625,-0.09375,0.13878028,-0.140625,-0.1875,-0.048933644,-0.0625,-0.15625,-0.1194269,0.09375,-0.046875,-0.07457707,0.109375,0.0625,-0.096635796
13,Tom Heaton,/en/matches/d5fa0563/Arsenal-Aston-Villa-September-22-2019-Premier-League,Nicolas Pépé,Scored,,-0.40625,0.25,0.036902804,-0.203125,0.109375,0.21894097,-0.046875,-0.03125,6.7622634e-05,0.046875,0.046875,0.02921619,0.078125,0.1875,0.2039806,-0.078125,0.28125,0.10939597,0.0,0.0,0.0,0.171875,-0.1875,-0.041075673,0.171875,-0.203125,-0.075410925,0.234375,-0.34375,-0.044055853,0.171875,0.15625,-0.029943665,0.171875,0.015625,-0.041326176,0.078125,-0.21875,-0.09181884,0.265625,-0.171875,-0.052373517,0.203125,0.0,0.056427035,-0.03125,0.0625,0.02470996
14,"Ralf Fährmann,Michael McGovern",/en/matches/3b180c0d/Crystal-Palace-Norwich-City-September-28-2019-Premier-League,Luka Milivojević,Scored,,-0.40625,0.3125,0.037077844,-0.1875,0.125,0.27908954,-0.03125,-0.03125,0.0076815095,0.0625,0.015625,0.001956699,0.0,0.21875,0.084150955,-0.171875,0.390625,-0.02039812,0.0,0.0,0.0,0.125,-0.25,-0.030133568,0.109375,-0.234375,-0.08968337,0.171875,-0.390625,0.0008329494,-0.1875,0.015625,-0.0016234884,-0.03125,-0.28125,-0.056802873,0.015625,-0.28125,-0.033366274,0.234375,-0.203125,-0.02440377,0.21875,-0.078125,0.024005817,0.203125,0.078125,0.021569205
15,Mathew Ryan,/en/matches/1d4b5564/Chelsea-Brighton-and-Hove-Albion-September-28-2019-Premier-League,Jorginho,Scored,,-0.109375,0.328125,0.07337114,-0.109375,0.15625,0.1819954,-0.03125,0.015625,0.04203756,0.03125,0.0,-0.045587033,0.0625,0.203125,0.09037685,0.15625,0.359375,-0.021149985,0.0,0.0,0.0,-0.0625,-0.15625,-0.009429041,-0.0625,-0.1875,-0.07546658,-0.109375,-0.34375,-0.06489351,-0.21875,0.015625,0.070292175,-0.1875,-0.0625,0.027484303,-0.125,-0.15625,-0.022836313,-0.015625,-0.171875,-0.08099946,0.0625,-0.078125,-0.10857122,0.078125,0.0625,-0.08624699
16,Michael McGovern,/en/matches/e50b8e5b/Norwich-City-Aston-Villa-October-5-2019-Premier-League,Wesley Moraes,Missed,,-0.046875,0.359375,-0.0005344944,-0.09375,0.1875,-0.054390844,-0.09375,0.0,-0.017085921,0.0625,0.0,0.005124023,0.234375,0.203125,0.12179682,0.203125,0.375,0.03316198,0.0,0.0,0.0,0.0625,-0.234375,-0.047410745,0.0625,-0.25,-0.11038813,0.140625,-0.40625,-0.1361603,-0.25,0.046875,-0.10087291,-0.1875,-0.125,-0.049636424,-0.0625,-0.25,-0.091579564,0.1875,-0.21875,-0.03304032,0.21875,-0.09375,0.038494326,0.25,0.03125,0.021026831
17,Kasper Schmeichel,/en/matches/aaed1c4e/Liverpool-Leicester-City-October-5-2019-Premier-League,James Milner,Scored,,0.25,0.28125,-0.04385818,0.09375,0.140625,0.16488664,-0.0625,0.03125,-0.06191063,0.0625,0.0,0.042627368,0.171875,0.109375,0.32059813,0.140625,0.21875,0.29675284,0.0,0.0,0.0,0.015625,-0.203125,-0.030190745,0.03125,-0.234375,-0.07878503,0.046875,-0.375,-0.082521945,-0.15625,0.09375,-0.22237132,-0.140625,-0.046875,-0.13410212,-0.03125,-0.171875,-0.09972205,0.078125,-0.21875,-0.03351745,0.109375,-0.140625,0.08627754,0.125,-0.046875,0.09962522
18,Roberto,/en/matches/23fe51bc/West-Ham-United-Crystal-Palace-October-5-2019-Premier-League,Patrick van Aanholt,Scored,,-0.40625,0.359375,0.06260302,-0.25,0.15625,0.16162518,-0.078125,-0.015625,-0.009906144,0.078125,0.015625,-0.0023778128,0.125,0.171875,0.07263049,-0.03125,0.40625,0.029902646,0.0,0.0,0.0,0.046875,-0.25,-0.03206908,0.046875,-0.234375,-0.080483966,-0.046875,-0.21875,-0.102064155,-0.265625,-0.203125,0.013810944,-0.15625,-0.203125,-0.055368528,-0.046875,-0.234375,-0.03761652,0.15625,-0.25,-0.088282876,0.21875,-0.25,-0.054802127,0.25,-0.1875,-0.055945314
19,Angus Gunn,/en/matches/644a3723/Wolverhampton-Wanderers-Southampton-October-19-2019-Premier-League,Raúl Jiménez,Scored,,-0.109375,0.28125,0.03426128,-0.15625,0.125,0.067271195,-0.03125,0.0,0.0126223415,0.046875,0.0,-0.0041693244,0.078125,0.171875,-0.06007389,0.203125,0.359375,-0.041889086,0.0,0.0,0.0,0.0,-0.09375,-0.037324883,0.0,-0.09375,-0.103200525,-0.015625,-0.203125,-0.066086344,-0.125,-0.140625,-0.03982383,-0.109375,-0.140625,-0.026062347,-0.078125,-0.109375,-0.026177734,0.03125,-0.109375,-0.10266307,0.09375,-0.0625,-0.07111366,0.109375,0.046875,-0.05788593
