,match_id,minute,team_id,team_name,player_id,player_name,shot_body_part_name,shot_technique_name,shot_outcome_name,date,home_team,away_team,season,competition,gk_id,gk_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
11,2307,66,1,Arsenal,3451,Alexandre Lacazette,Right Foot,Normal,Goal,25/09/2017,Arsenal,West Bromwich Albion,2017/2018,Premier League,4053,Ben Foster,99.71875,302.99560546875,150.96875,233.32763671875,215.03125,195.89111328125,253.46875,247.74169921875,202.21875,240.53466796875,138.15625,297.18994140625,234.25,221.81640625,202.21875,106.00341796875,195.8125,86.6845703125,157.375,15.615234375,144.5625,207.6025390625,170.1875,169.5654296875,208.625,93.291015625,163.78125,105.40283203125,144.5625,156.3525390625,112.53125,232.72705078125
12,14410,11,22,Leicester City,10960,Jamie Vardy,Right Foot,Normal,Goal,01/12/2018,Leicester City,Watford,2018/2019,Premier League,4053,Ben Foster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14345,86,28,AFC Bournemouth,3463,Junior Stanislas,Right Foot,Normal,Goal,01/10/2018,AFC Bournemouth,Crystal Palace,2018/2019,Premier League,3488,Wayne Hennessey,25.125,173.830078125,65.34375,143.52099609375,80.8125,97.3564453125,105.5625,103.9306640625,111.75,134.96484375,130.3125,156.9111328125,93.1875,100.6435546875,114.84375,51.48193359375,117.9375,48.4365234375,130.3125,20.7861328125,62.25,97.06640625,80.8125,72.6064453125,102.46875,48.19482421875,133.40625,54.86572265625,114.84375,79.32568359375,114.84375,97.88818359375
14,14579,80,24,Liverpool,3473,James Philip Milner,Right Foot,Normal,Goal,17/03/2019,Fulham,Liverpool,2018/2019,Premier League,6823,Sergio Rico González,147.71875,231.99560546875,76.40625,179.94384765625,112.0625,160.1259765625,152.8125,150.5751953125,219.03125,182.17236328125,275.0625,239.0791015625,132.4375,160.4443359375,81.5,62.8671875,76.40625,67.88134765625,66.21875,6.59716796875,66.21875,123.75341796875,35.65625,82.52587890625,50.9375,72.5771484375,117.15625,53.23681640625,147.71875,89.37060546875,178.28125,94.94189453125
15,14596,51,32,Huddersfield Town,3281,Aaron Mooy,Right Foot,Normal,Goal,06/04/2019,Huddersfield Town,Leicester City,2018/2019,Premier League,3815,Kasper Schmeichel,71.875,145.248046875,46.875,110.482421875,81.25,89.14453125,93.75,83.08984375,46.875,113.607421875,162.5,152.9140625,90.625,86.166015625,56.25,45.00390625,53.125,44.955078125,34.375,16.537109375,25.0,75.765625,40.625,69.759765625,59.375,38.802734375,50.0,51.15625,40.625,72.884765625,37.5,75.9609375
16,14596,83,22,Leicester City,10960,Jamie Vardy,Right Foot,Normal,Goal,06/04/2019,Huddersfield Town,Leicester City,2018/2019,Premier League,4621,Ben Hamer,128.125,155.501953125,146.875,118.294921875,115.625,74.056640625,93.75,76.83984375,65.625,117.025390625,15.625,156.869140625,103.125,76.986328125,146.875,46.419921875,153.125,43.392578125,184.375,25.130859375,131.25,86.80078125,128.125,77.376953125,150.0,46.46875,137.5,36.8984375,125.0,39.828125,62.5,104.4765625
17,14312,24,35,Brighton & Hove Albion,3097,Pascal Groß,Right Foot,Normal,Saved,01/09/2018,Brighton & Hove Albion,Fulham,2018/2019,Premier League,12258,Marcus Bettinelli,118.5625,141.1962890625,80.59375,31.75927734375,73.0,56.953125,70.46875,56.91357421875,35.03125,89.26611328125,52.75,122.44921875,70.46875,56.91357421875,57.8125,54.1845703125,57.8125,54.1845703125,35.03125,25.98486328125,113.5,141.1171875,83.125,64.705078125,62.875,54.263671875,55.28125,54.14501953125,42.625,66.603515625,19.84375,71.31005859375
18,14312,83,35,Brighton & Hove Albion,3085,Glenn Murray,Right Foot,Normal,Goal,01/09/2018,Brighton & Hove Albion,Fulham,2018/2019,Premier League,12258,Marcus Bettinelli,105.90625,123.27978515625,116.03125,88.00048828125,85.65625,69.80712890625,70.46875,67.03857421875,55.28125,104.77001953125,24.90625,139.73291015625,78.0625,69.6884765625,93.25,42.08203125,93.25,42.08203125,108.4375,22.0693359375,83.125,62.173828125,95.78125,54.77783203125,108.4375,37.2568359375,83.125,39.392578125,70.46875,46.78857421875,55.28125,59.20751953125
19,14304,75,33,Chelsea,3621,Eden Hazard,Right Foot,Normal,Goal,26/08/2018,Newcastle United,Chelsea,2018/2019,Premier League,3711,Martin Dúbravka,95.5,278.3515625,136.5,222.6171875,100.625,191.306640625,167.25,202.59765625,213.375,244.318359375,254.375,296.208984375,121.125,207.001953125,162.125,105.142578125,95.5,73.3515625,100.625,1.681640625,34.0,164.640625,49.375,134.130859375,157.0,84.5625,177.5,105.3828125,162.125,146.142578125,116.0,145.421875
20,2239,88,32,Huddersfield Town,3281,Aaron Mooy,Right Foot,Normal,Goal,16/12/2017,Watford,Huddersfield Town,2017/2018,Premier League,3522,Heurelho da Silva Gomes,150.34375,307.06787109375,77.21875,238.89404296875,125.96875,178.71826171875,174.71875,173.38623046875,241.75,265.83984375,314.875,352.294921875,150.34375,173.00537109375,132.0625,87.4072265625,132.0625,93.5009765625,132.0625,20.3759765625,40.65625,195.66650390625,46.75,122.63671875,77.21875,80.45654296875,186.90625,88.26416015625,223.46875,137.58544921875,229.5625,204.7119140625
21,14353,32,28,AFC Bournemouth,3346,Joshua King,Right Foot,Normal,Goal,06/10/2018,Watford,AFC Bournemouth,2018/2019,Premier League,4053,Ben Foster,212.1875,429.2841796875,128.65625,298.88525390625,98.28125,237.66064453125,181.8125,254.1533203125,303.3125,347.1767578125,310.90625,430.82666015625,143.84375,245.96630859375,166.625,109.634765625,166.625,94.447265625,174.21875,11.03466796875,52.71875,176.19873046875,29.9375,175.8427734375,105.875,108.685546875,227.375,118.177734375,250.15625,141.31494140625,227.375,239.677734375
22,2147,86,38,Tottenham Hotspur,10955,Harry Kane,Right Foot,Normal,Saved,04/02/2018,Liverpool,Tottenham Hotspur,2017/2018,Premier League,3630,Loris Karius,56.0,460.453125,91.25,372.87890625,144.125,267.955078125,214.625,269.056640625,285.125,384.720703125,329.1875,499.9716796875,179.375,268.505859375,170.5625,109.7431640625,170.5625,109.7431640625,170.5625,21.6181640625,82.4375,214.1162109375,73.625,143.478515625,117.6875,117.7294921875,223.4375,110.5693359375,285.125,129.158203125,293.9375,199.7958984375
23,2147,94,38,Tottenham Hotspur,10955,Harry Kane,Right Foot,Normal,Goal,04/02/2018,Liverpool,Tottenham Hotspur,2017/2018,Premier League,3630,Loris Karius,356.09375,335.65771484375,275.46875,247.05419921875,194.84375,171.88818359375,134.375,177.662109375,275.46875,247.05419921875,349.375,328.833984375,161.25,171.36328125,174.6875,50.6357421875,174.6875,43.9169921875,188.125,10.533203125,248.59375,51.79052734375,268.75,58.82421875,141.09375,23.23583984375,215.0,24.390625,262.03125,52.00048828125,228.4375,64.9130859375
24,14493,38,36,Manchester City,3202,Gabriel Fernando de Jesus,Right Foot,Normal,Goal,14/01/2019,Manchester City,Wolverhampton Wanderers,2018/2019,Premier League,5205,Rui Pedro dos Santos Patrício,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2111,61,22,Leicester City,10960,Jamie Vardy,Right Foot,Normal,Goal,09/09/2017,Leicester City,Chelsea,2017/2018,Premier League,3509,Thibaut Courtois,313.03125,321.82861328125,248.0625,255.8447265625,200.8125,160.6064453125,200.8125,178.3251953125,236.25,255.66015625,189.0,313.984375,206.71875,166.60498046875,94.5,93.9765625,112.21875,88.34716796875,82.6875,40.6357421875,253.96875,125.99951171875,189.0,89.546875,64.96875,93.51513671875,124.03125,76.71923828125,212.625,89.916015625,218.53125,131.35205078125
26,14313,68,39,Manchester United,20004,Paul Pogba,Right Foot,Normal,Saved,02/09/2018,Burnley,Manchester United,2018/2019,Premier League,3291,Joe Hart,135.6875,133.7607421875,105.3125,115.5673828125,74.9375,46.7490234375,57.21875,51.53466796875,105.3125,110.5048828125,138.21875,133.80029296875,64.8125,46.5908203125,49.625,69.134765625,49.625,69.134765625,54.6875,97.0576171875,39.5,41.1328125,31.90625,61.26416015625,85.0625,100.0634765625,39.5,56.3203125,39.5,56.3203125,26.84375,83.96630859375
27,14578,71,29,Everton,3944,Gylfi Þór Sigurðsson,Right Foot,Normal,Saved,17/03/2019,Everton,Chelsea,2018/2019,Premier League,6395,Kepa Arrizabalaga Revuelta,58.625,167.666015625,113.1875,132.1435546875,98.03125,86.43798828125,76.8125,92.1689453125,52.5625,119.0712890625,161.6875,166.2451171875,85.90625,89.27978515625,70.75,55.69921875,70.75,43.57421875,67.71875,19.27685546875,128.34375,26.28662109375,55.59375,73.64990234375,70.75,43.57421875,58.625,43.384765625,46.5,73.5078125,37.40625,55.17822265625
28,14503,26,39,Manchester United,20004,Paul Pogba,Right Foot,Normal,Goal,19/01/2019,Manchester United,Brighton & Hove Albion,2018/2019,Premier League,22358,David Button,45.375,344.052734375,118.875,253.326171875,192.375,199.349609375,253.625,212.556640625,302.625,237.822265625,229.125,340.798828125,223.0,205.953125,216.875,95.607421875,216.875,95.607421875,204.625,21.916015625,76.0,197.53125,118.875,155.326171875,161.75,100.87109375,272.0,96.46875,296.5,164.2265625,314.875,225.763671875
