,player_name,shot_outcome_name,gk_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
10,Matt Ritchie,Goal,Ederson Santana de Moraes,0.15625,0.171875,0.123978019,0.078125,0.125,0.297400236,0.078125,-0.03125,-0.039464764,-0.015625,0,0.027585899,0.03125,0.140625,0.259854883,0.15625,0.21875,0.04390483,0,0,0,-0.03125,-0.390625,0.001204309,-0.046875,-0.4375,-0.003567822,-0.09375,-0.59375,-0.029571507,0.265625,-0.171875,0.105906934,0.234375,-0.296875,0.028460229,0.078125,-0.390625,0.006135206,-0.125,-0.390625,-0.0203043,-0.234375,-0.21875,0.012704315,-0.203125,-0.265625,0.065712638
11,Alexandre Lacazette,Goal,Ben Foster,-0.328125,0.203125,0.040991761,-0.203125,0.03125,0.258297712,-0.046875,-0.0625,0.048132867,0.046875,0.0625,-0.052368753,-0.078125,0.046875,0.042624909,-0.234375,0.1875,0.11462374,0,0,0,-0.078125,-0.28125,0.004950803,-0.09375,-0.328125,0.009408623,-0.1875,-0.5,-0.12974593,-0.21875,-0.03125,0.107171036,-0.15625,-0.125,0.068235025,-0.0625,-0.3125,0.032220833,-0.171875,-0.28125,-0.018149778,-0.21875,-0.15625,-0.050927494,-0.296875,0.03125,-0.072792552
12,Jamie Vardy,Goal,Ben Foster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Junior Stanislas,Goal,Wayne Hennessey,-0.34375,0.375,-0.05500409,-0.140625,0.21875,0.212008864,-0.0625,-0.015625,-0.026972352,0.0625,0.015625,0.015425724,0.09375,0.171875,0.367979228,0.1875,0.28125,0.071359232,0,0,0,0.109375,-0.25,-0.048568189,0.125,-0.265625,-0.112460718,0.1875,-0.40625,0.001788751,-0.15625,-0.015625,-0.034508921,-0.0625,-0.140625,-0.027080271,0.046875,-0.265625,-0.067645356,0.203125,-0.234375,-0.074421436,0.109375,-0.109375,0.054954797,0.109375,-0.015625,0.026388248
14,James Philip Milner,Goal,Sergio Rico González,0.046875,0.21875,-0.015833015,-0.171875,0.0625,-0.032565482,-0.0625,0,-0.024724869,0.0625,-0.03125,0.016028643,0.265625,0.0625,0.1020988,0.4375,0.234375,-0.027781954,0,0,0,-0.15625,-0.296875,-0.013885283,-0.171875,-0.28125,-0.072566345,-0.203125,-0.46875,-0.069557071,-0.203125,-0.109375,0.017288066,-0.296875,-0.234375,0.000481393,-0.25,-0.265625,-0.041672818,-0.046875,-0.328125,-0.022053584,0.046875,-0.21875,-0.066979401,0.140625,-0.203125,-0.031206671
15,Aaron Mooy,Goal,Kasper Schmeichel,-0.09375,0.296875,-0.043513853,-0.21875,0.125,0.205611527,-0.046875,0.015625,0.026650392,0.015625,-0.015625,-0.045285422,-0.21875,0.140625,0.17833145,0.359375,0.328125,0.002281378,0,0,0,-0.171875,-0.203125,-0.023056835,-0.1875,-0.203125,-0.057994206,-0.28125,-0.34375,-0.070637926,-0.328125,-0.046875,0.045249913,-0.25,-0.078125,0.094599925,-0.15625,-0.234375,9.01E-05,-0.203125,-0.171875,-0.11292129,-0.25,-0.0625,-0.058764234,-0.265625,-0.046875,-0.020221185
16,Jamie Vardy,Goal,Ben Hamer,0.125,0.390625,-0.001724059,0.21875,0.203125,0.197091654,0.0625,-0.015625,-0.046652619,-0.046875,0,0.01994768,-0.1875,0.203125,0.131950915,-0.4375,0.40625,-0.000493896,0,0,0,0.21875,-0.15625,-0.021624127,0.25,-0.171875,-0.021868588,0.40625,-0.265625,-0.012521373,0.140625,0.046875,-0.009048712,0.125,0,-0.097189665,0.234375,-0.15625,-0.045956444,0.171875,-0.203125,-0.034682624,0.109375,-0.1875,0.077972807,-0.203125,0.140625,0.060625743
17,Pascal Groß,Saved,Marcus Bettinelli,0.296875,0.515625,0.118275709,0.0625,-0.15625,0.139023587,0.015625,0,-0.017109711,0,0,0.011761107,-0.21875,0.203125,0.169724494,-0.109375,0.40625,-0.070923962,0,0,0,-0.078125,-0.015625,-0.038984776,-0.078125,-0.015625,-0.082506716,-0.21875,-0.1875,-0.245154589,0.265625,0.515625,-0.0629173,0.078125,0.046875,0.037944887,-0.046875,-0.015625,-0.094558448,-0.09375,-0.015625,-0.083591335,-0.171875,0.0625,-0.155044049,-0.3125,0.09375,-0.049566302
18,Glenn Murray,Goal,Marcus Bettinelli,0.171875,0.328125,-0.012919715,0.234375,0.109375,0.269558161,0.046875,0,0.012639886,-0.046875,-0.015625,-0.016661176,-0.140625,0.21875,0.123596229,-0.328125,0.4375,0.002905484,0,0,0,0.09375,-0.171875,-0.010774875,0.09375,-0.171875,-0.011169437,0.1875,-0.296875,-0.039397623,0.03125,-0.046875,0.095050268,0.109375,-0.09375,0.015762592,0.1875,-0.203125,-0.039356012,0.03125,-0.1875,-0.009601386,-0.046875,-0.140625,-0.00158208,-0.140625,-0.0625,-0.040915545
19,Eden Hazard,Goal,Martin Dúbravka,-0.078125,0.21875,0.055988222,0.046875,0.046875,0.119171903,-0.0625,-0.046875,-0.010317334,0.140625,-0.015625,0.032456998,0.28125,0.109375,0.256423175,0.40625,0.265625,0.041494653,0,0,0,0.125,-0.3125,0.029516175,-0.078125,-0.40625,-0.123933189,-0.0625,-0.625,-0.101681657,-0.265625,-0.125,-0.062567838,-0.21875,-0.21875,-0.028311878,0.109375,-0.375,-0.058893874,0.171875,-0.3125,-0.008830066,0.125,-0.1875,0.021537274,-0.015625,-0.1875,0.042681329
20,Aaron Mooy,Goal,Heurelho da Silva Gomes,0,0.34375,-0.056131836,-0.1875,0.171875,0.025785988,-0.0625,0.015625,-0.003883273,0.0625,0,0.005319338,0.234375,0.234375,0.116498299,0.421875,0.453125,0.033115689,0,0,0,-0.046875,-0.21875,-0.031749569,-0.046875,-0.203125,-0.089436576,-0.046875,-0.390625,-0.078683779,-0.28125,0.0625,-0.049738914,-0.265625,-0.125,0.017200857,-0.1875,-0.234375,-0.074702114,0.09375,-0.21875,-0.075778104,0.1875,-0.09375,-0.019119004,0.203125,0.078125,-0.009131827
21,Joshua King,Goal,Ben Foster,0.140625,0.375,-0.186404228,-0.03125,0.109375,-0.264860094,-0.09375,-0.015625,-0.016022351,0.078125,0.015625,0.014969617,0.328125,0.203125,0.186931804,0.34375,0.375,0.057057939,0,0,0,0.046875,-0.28125,-0.025562648,0.046875,-0.3125,-0.061025809,0.0625,-0.484375,-0.049407903,-0.1875,-0.140625,-0.141551077,-0.234375,-0.140625,-0.08945635,-0.078125,-0.28125,-0.047189388,0.171875,-0.265625,-0.014659434,0.21875,-0.21875,-0.01269607,0.171875,-0.015625,0.053011592
22,Harry Kane,Saved,Loris Karius,-0.21875,0.34375,0.021851821,-0.15625,0.1875,0.125650048,-0.0625,0,0.00441166,0.0625,0,-0.00274269,0.1875,0.203125,0.14452149,0.265625,0.40625,-0.020195799,0,0,0,-0.015625,-0.28125,-0.030937543,-0.015625,-0.28125,-0.072734639,-0.015625,-0.4375,-0.053038865,-0.171875,-0.09375,-0.034801129,-0.1875,-0.21875,-0.018200474,-0.109375,-0.265625,-0.038556963,0.078125,-0.28125,-0.042580757,0.1875,-0.25,-0.001260722,0.203125,-0.125,-0.054803506
23,Harry Kane,Goal,Loris Karius,0.453125,0.375,0.042565893,0.265625,0.171875,0.189052254,0.078125,0,-0.010920851,-0.0625,0.015625,0.00497021,0.265625,0.171875,0.185472339,0.4375,0.359375,0.0953153,0,0,0,0.03125,-0.28125,-0.012195466,0.03125,-0.296875,-0.037245803,0.0625,-0.375,-0.058883503,0.203125,-0.28125,-0.028199309,0.25,-0.265625,-0.006335789,-0.046875,-0.34375,-0.044414867,0.125,-0.34375,-0.07016097,0.234375,-0.28125,0.021068154,0.15625,-0.25,-0.242933989
